NAME_New,ROUTEID,LONGNAME,NAME,numRecords,minYear,maxYear,minMode
701_Blue,701,701 - TRAX Blue Line,Blue,62,2019,2050,7
703_Red,703,703 - TRAX Red Line,Red,64,2019,2050,7
704_Green,704,704 - TRAX Green Line,Green,64,2019,2050,7
720_SLine,720,720 - S-Line,Sline,62,2019,2050,7
750_FR,750,750 - FrontRunner,RCRT_WEPN,64,2019,2050,8
BE630,630,630 - Brigham City-Ogden Comm,O630,64,2019,2050,4
DA460,460,460 - Woods Cross,D460,7,2019,2050,4
DA461,461,461 - Bountiful via State Capitol,D461,7,2019,2050,4
DA462,462,462 - North Salt Lake,D462,7,2019,2050,4
DA605F,F605,F605 - Bountiful - Centerville Flex,FD605,14,2019,2050,4
DA605F,F605,F605 - Bountiful - Centerville Flex,OF605,46,2028,2050,4
DA626,626,626 - West Roy - Clearfield Station,O626,64,2019,2050,4
DA640,640,640 - Layton Hills Mall - WSU Ogden Camp,O640,64,2019,2050,4
MAG_001,,BRT_ProOrm_50,BRT_ProOrm_50,4,2050,2050,9
MAG_002,,BRT_VinOrm,BRT_VinOrm,14,2042,2050,9
MAG_003,,Core_Cedar,Core_Cedar,7,2030,2050,5
MAG_004,,Core_CedarAF,Core_CedarAF,1,2042,2042,5
MAG_005,,Core_CedarLehi,Core_CedarLehi,11,2032,2050,5
MAG_006,,Core_Maple,Core_Maple,36,2030,2050,5
MAG_007,,Core_Nebo,Core_Nebo,15,2032,2050,5
MAG_008,,Core_State850,Core_State850,4,2032,2042,5
MAG_009,,MAG_LRT,MAG_LRT,8,2042,2050,7
MAG_010,,P_AF,P_AF,8,2030,2050,4
MAG_011,,P_Alpine,P_Alpine,12,2030,2050,4
MAG_012,,P_EagleMtn,P_EagleMtn,6,2030,2050,4
MAG_013,,P_Lehi1,P_Lehi1,12,2030,2050,4
MAG_014,,P_Lehi2,P_Lehi2,12,2030,2050,4
MAG_015,,P_Lehi3,P_Lehi3,12,2030,2050,4
MAG_016,,P_Orem,P_Orem,12,2030,2050,4
MAG_017,,P_Provo1,P_Provo1,12,2030,2050,4
MAG_018,,P_Provo2,P_Provo2,6,2030,2050,4
